Player,Team,Games Played,Points,Points / Game,Touchdowns,Passing Touchdowns,Rushing Touchdowns,Receiving Touchdowns,Kicking Points,Field Goals Made,Extra Points Made,Total Kick and Punt Return Touchdowns,Kick Return Touchdowns,Punt Return Touchdowns,Interception Touchdowns,Fumble Recovery Touchdowns,Safeties,Two Point Conversions
"Carey, Don",DET,13,6,0.5,1,-,-,-,-,-,-,-,-,-,0,1,0,0
"Dickson, Ed",CAR,16,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Graham, Garrett",HOU,11,6,0.5,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Smith, Lee",BUF,14,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Carter, Bruce",DAL,13,6,0.5,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Green, Virgil",DEN,13,6,0.5,1,-,0,1,-,-,-,-,-,-,-,-,-,0
"Locker, Jake",TEN,7,6,0.9,1,5,1,-,-,-,-,-,-,-,-,-,-,0
"Castonzo, Anthony",IND,16,6,0.4,1,-,-,1,-,-,-,-,-,-,-,-,-,0
"Pettis, Austin",STL,5,6,1.2,1,-,-,1,-,-,-,0,0,0,-,-,-,0
"Salas, Greg",NYJ,10,6,0.6,1,-,1,0,-,-,-,0,0,0,-,-,-,0
"Ponder, Christian",MIN,2,6,3.0,1,0,1,-,-,-,-,-,-,-,-,-,-,0
