Player,Team,Games Played,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Yards,Interception Touchdowns,Interception Return Long,Forced Fumbles,Fumbles Recovered,Fumble Recovery Touchdowns,Passes Defensed,Safeties,Stuffs,Stuff Yards
"McCray, Danny",DAL,16,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Vaughn, Cassius",[],2,1,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
"Mariani, Marc",CHI,16,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Sherels, Marcus",MIN,16,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Trattou, Justin",MIN,5,1,1,0,0.0,0,2,14,0,11,0,0,0,2,0,0.0,0.0
"Braman, Bryan",PHI,16,1,1,0,1.0,11,0,0,0,0,0,1,0,0,0,0.0,0.0
"Bentley, Bill",DET,2,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Moses, Dezman",KC,13,1,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
"Solomon, Scott",CLE,2,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Bolden, Brandon",NE,15,1,1,0,0.0,0,0,0,0,0,1,0,0,0,0,1.0,1.0
"Smith, D'Anthony",CHI,2,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Levine Sr., Anthony",BAL,16,1,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
"Bostic, Jonathan",NE,11,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Barrington, Sam",GB,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Boyd, Josh",GB,2,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Price, Sheldon",IND,2,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Davis, Will",BAL,2,1,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
"Johnson, Rufus",NE,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Fleming, Darius",NE,6,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Harris, Jeremy",WSH,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Terrell, Steven",SEA,12,1,1,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
"Southward, Dezmen",ATL,3,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"George, Jeremiah",TB,15,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.5,1.0
"Pagan, Jeoffrey",HOU,6,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Johnson, Randell",BUF,10,1,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Anunike, Kenny",DEN,3,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Davis, Chris",SF,3,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Whitlock, Nikita",NYG,14,1,1,0,1.0,14,0,0,0,0,0,0,0,0,0,0.0,0.0
"Phillips, Dashaun",WSH,6,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Thomas, Robert",MIA,1,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Fields, Carlos",WSH,5,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Fatinikun, T.J.",TB,2,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Nelson, Steven",KC,12,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Walker, Tray",BAL,8,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Hull, Mike",MIA,3,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Saunders, De'Ante",CLE,1,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Rivers, Philip",SD,16,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Condo, Jon",OAK,13,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Marshall, Brandon",NYJ,16,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Crosby, Mason",GB,16,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
"Celek, Brent",PHI,16,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Davis, Kellen",NYJ,16,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Owens, Chris",NO,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Jennings, Rashad",NYG,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
"Webb, Joe",CAR,16,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Windt, Mike",SD,16,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Dixon, Boobie",BUF,16,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Dickson, Ed",CAR,16,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
"Weeks, Jon",HOU,16,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Jones, Julio",ATL,16,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
"Rodgers, Jacquizz",CHI,5,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Jones, Chris",DAL,16,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Cobb, Randall",GB,16,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
"Easley, Marcus",BUF,13,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0.0,0.0
"Holmes, Andre",OAK,16,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
"Johnson, Steven",TEN,16,0,0,0,0.0,0,0,0,0,0,0,2,0,0,0,0.0,0.0
"Fleener, Coby",IND,16,0,0,0,0.0,0,1,2,0,2,0,0,0,1,0,0.0,0.0
"Bellamy, Joshua",CHI,16,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"DiMarco, Patrick",ATL,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
